_epoch,train_loss,valid_loss,acc,val_acc,lr,early_stopping,elapsed_time
1,5.882921,2.197009,0.189,0.198,0.100000,0,2
2,5.475040,2.285307,0.242,0.208,0.100000,0,5
3,5.268212,2.126616,0.271,0.257,0.100000,0,8
4,5.108742,2.099162,0.297,0.263,0.100000,0,12
5,4.959980,1.909599,0.312,0.291,0.100000,0,15
6,4.843731,2.030595,0.334,0.289,0.100000,1,18
7,4.751271,1.926794,0.342,0.301,0.100000,0,20
8,4.682351,1.833788,0.353,0.316,0.100000,0,23
9,4.612225,2.128436,0.366,0.293,0.100000,1,26
10,4.575669,1.886548,0.370,0.328,0.100000,0,29
11,4.541214,1.927441,0.377,0.339,0.100000,0,33
12,4.507785,1.935680,0.384,0.332,0.100000,1,36
13,4.454084,1.991795,0.386,0.319,0.100000,2,39
14,4.449695,1.880832,0.390,0.337,0.100000,3,43
15,4.420914,1.792404,0.396,0.336,0.100000,4,46
16,4.405537,1.811165,0.397,0.344,0.100000,0,49
17,4.382406,1.968224,0.398,0.328,0.100000,1,53
18,4.371426,1.991477,0.403,0.324,0.100000,2,56
19,4.350831,1.892570,0.407,0.351,0.100000,0,59
20,4.351433,1.934721,0.405,0.332,0.100000,1,62
21,4.344867,2.108167,0.408,0.318,0.100000,2,65
22,4.326167,1.890774,0.410,0.358,0.100000,0,68
23,4.306097,1.842645,0.410,0.351,0.100000,1,71
24,4.306711,2.082082,0.413,0.317,0.100000,2,74
25,4.298313,1.964912,0.414,0.340,0.100000,3,77
26,4.298444,1.814410,0.412,0.362,0.100000,0,80
27,4.292832,1.904419,0.414,0.336,0.100000,1,83
28,4.278009,1.954581,0.416,0.356,0.100000,2,87
29,4.261449,2.005676,0.417,0.342,0.100000,3,90
30,4.261751,2.181338,0.418,0.332,0.100000,4,93
31,4.270264,1.928887,0.417,0.355,0.100000,5,96
32,4.263180,1.957679,0.418,0.347,0.100000,6,99
33,4.242353,1.924178,0.419,0.357,0.100000,7,102
34,4.247123,1.973307,0.420,0.325,0.100000,8,106
35,4.238440,1.887017,0.421,0.369,0.100000,0,109
