_epoch,train_loss,valid_loss,acc,val_acc,lr,early_stopping,elapsed_time
1,9.704624,2.404259,0.190,0.213,0.100000,0,3
2,8.875825,2.439061,0.237,0.205,0.100000,1,7
3,8.605585,2.340349,0.254,0.242,0.100000,0,11
4,8.352867,2.238880,0.276,0.263,0.100000,0,15
5,8.130222,2.264568,0.293,0.261,0.100000,1,18
6,7.904480,2.385777,0.313,0.246,0.100000,2,22
7,7.704304,2.233889,0.328,0.298,0.100000,0,26
8,7.583998,2.661133,0.339,0.296,0.100000,1,30
9,7.438070,2.186629,0.354,0.295,0.100000,2,34
10,7.345629,2.411147,0.360,0.301,0.100000,0,37
11,7.257966,2.224800,0.369,0.326,0.100000,0,41
12,7.174084,2.267124,0.372,0.294,0.100000,1,45
13,7.130339,2.334065,0.378,0.316,0.100000,2,48
14,7.058531,2.114917,0.383,0.331,0.100000,0,52
15,7.030688,2.208942,0.385,0.345,0.100000,0,56
16,7.011089,2.366426,0.390,0.316,0.100000,1,60
17,6.975599,2.604579,0.393,0.332,0.100000,2,64
18,6.950673,2.024624,0.393,0.364,0.100000,0,67
19,6.901969,2.184577,0.399,0.326,0.100000,1,71
20,6.885161,2.303196,0.401,0.332,0.100000,2,75
21,6.851676,2.048754,0.403,0.346,0.100000,3,78
22,6.834732,2.172254,0.404,0.338,0.100000,4,82
23,6.798101,2.122567,0.406,0.354,0.100000,5,86
24,6.794389,2.448615,0.407,0.336,0.100000,6,90
25,6.805703,2.150812,0.406,0.349,0.100000,7,94
26,6.778835,2.347569,0.412,0.325,0.100000,8,97
27,6.775425,2.097587,0.407,0.357,0.100000,9,101
28,6.752781,2.109281,0.412,0.351,0.100000,10,105
29,6.737823,2.156079,0.410,0.343,0.100000,11,109
30,6.729066,2.157623,0.413,0.351,0.100000,12,112
31,6.705210,2.885721,0.414,0.320,0.100000,13,116
32,6.715324,2.010953,0.413,0.354,0.100000,14,120
33,6.690197,2.480309,0.416,0.365,0.100000,0,124
34,6.673408,2.223250,0.418,0.354,0.100000,1,127
35,6.679670,2.247713,0.415,0.341,0.100000,2,131
36,6.662725,2.158561,0.418,0.356,0.100000,3,135
37,6.674943,2.507560,0.417,0.333,0.100000,4,139
38,6.663932,2.076315,0.420,0.373,0.100000,0,143
39,6.651024,2.500942,0.418,0.344,0.100000,1,146
40,6.655261,2.130432,0.417,0.349,0.100000,2,150
41,6.665293,2.308532,0.419,0.365,0.100000,3,154
42,6.618549,2.310110,0.421,0.360,0.100000,4,158
43,6.619627,2.162816,0.420,0.363,0.100000,5,161
44,6.641023,2.278296,0.420,0.323,0.100000,6,165
45,6.621387,2.477409,0.422,0.306,0.100000,7,169
46,6.627672,2.091503,0.424,0.346,0.100000,8,173
47,6.607726,2.476258,0.426,0.348,0.100000,9,176
48,6.622360,2.084874,0.422,0.372,0.100000,10,180
49,6.608055,2.273264,0.423,0.345,0.100000,11,184
50,6.596265,2.693629,0.426,0.325,0.100000,12,188
51,6.593381,2.253764,0.426,0.356,0.100000,13,191
52,6.590381,2.154328,0.424,0.368,0.100000,14,195
53,6.582817,2.264163,0.425,0.358,0.100000,15,199
54,6.587002,2.005843,0.424,0.361,0.100000,16,203
55,6.584639,2.691334,0.428,0.308,0.100000,17,206
56,6.570043,2.219082,0.426,0.372,0.100000,18,210
57,6.559574,2.258207,0.427,0.352,0.100000,19,214
58,6.586763,2.220999,0.425,0.331,0.100000,20,218
59,6.564221,2.332644,0.425,0.367,0.100000,21,221
60,6.568785,2.124094,0.429,0.353,0.100000,22,225
61,6.572375,2.485030,0.426,0.348,0.100000,23,229
