_epoch,train_loss,valid_loss,acc,val_acc,lr,early_stopping,elapsed_time
1,2.202207,2.104033,0.190,0.205,0.100000,0,3
2,2.011542,1.975793,0.247,0.252,0.100000,0,7
3,1.933170,2.478839,0.277,0.184,0.100000,1,11
4,1.873274,1.852273,0.299,0.290,0.100000,0,14
5,1.808169,1.834738,0.321,0.292,0.100000,0,18
6,1.757849,1.881531,0.337,0.288,0.100000,1,22
7,1.723356,1.759034,0.354,0.336,0.100000,0,25
8,1.689465,1.925644,0.368,0.272,0.100000,1,29
9,1.664992,1.694905,0.374,0.344,0.100000,0,33
10,1.645073,1.753259,0.384,0.340,0.100000,1,37
11,1.636059,1.708132,0.387,0.342,0.100000,2,40
12,1.620907,1.775548,0.392,0.340,0.100000,3,44
13,1.608721,1.709013,0.396,0.346,0.100000,0,48
14,1.595560,1.686801,0.400,0.355,0.100000,0,51
15,1.591730,1.667789,0.402,0.346,0.100000,1,55
16,1.579036,1.735416,0.409,0.316,0.100000,2,59
17,1.575839,1.652517,0.408,0.364,0.100000,0,62
18,1.565788,1.691213,0.416,0.347,0.100000,1,66
19,1.564448,1.701593,0.413,0.370,0.100000,0,70
20,1.561005,1.733712,0.418,0.349,0.100000,1,73
21,1.551867,1.754641,0.419,0.330,0.100000,2,77
22,1.548439,1.632845,0.420,0.364,0.100000,3,81
23,1.549492,1.639116,0.420,0.363,0.100000,4,84
24,1.545417,1.696247,0.422,0.359,0.100000,5,88
25,1.539987,1.773779,0.423,0.339,0.100000,6,92
26,1.538551,1.624559,0.424,0.378,0.100000,0,96
27,1.536657,1.648085,0.425,0.371,0.100000,1,99
28,1.535833,1.852647,0.427,0.310,0.100000,2,103
29,1.528210,1.710106,0.428,0.349,0.100000,3,107
30,1.525914,1.736247,0.428,0.353,0.100000,4,110
31,1.531456,1.665301,0.427,0.369,0.100000,5,114
32,1.527565,1.701334,0.429,0.357,0.100000,6,118
33,1.522241,1.616621,0.431,0.371,0.100000,7,121
34,1.522251,1.626315,0.429,0.367,0.100000,8,125
35,1.522422,1.930743,0.430,0.280,0.100000,9,129
36,1.516621,1.717584,0.433,0.355,0.100000,10,132
37,1.518099,1.617402,0.432,0.390,0.100000,0,136
38,1.517797,1.621493,0.432,0.372,0.100000,1,140
39,1.514052,1.656730,0.434,0.377,0.100000,2,143
40,1.517741,1.638999,0.433,0.365,0.100000,3,147
41,1.518367,1.701681,0.431,0.360,0.100000,4,151
42,1.515587,1.736087,0.434,0.348,0.100000,5,155
43,1.517204,1.583405,0.437,0.391,0.100000,0,158
44,1.508874,1.654811,0.435,0.361,0.100000,1,162
45,1.512617,1.630863,0.432,0.366,0.100000,2,166
46,1.510575,1.623774,0.433,0.377,0.100000,3,169
47,1.511019,1.907500,0.433,0.289,0.100000,4,173
48,1.507364,1.646441,0.435,0.356,0.100000,5,177
49,1.504915,1.615403,0.438,0.369,0.100000,6,180
50,1.509913,1.706972,0.435,0.349,0.100000,7,184
51,1.505136,1.630061,0.436,0.367,0.100000,8,188
52,1.502858,1.611040,0.438,0.377,0.100000,9,191
53,1.504888,1.755610,0.436,0.355,0.100000,10,195
54,1.503427,1.650700,0.438,0.370,0.100000,11,199
55,1.502112,1.685917,0.437,0.353,0.100000,12,202
56,1.504317,1.690774,0.439,0.348,0.100000,13,206
57,1.503617,1.654073,0.438,0.362,0.100000,14,210
58,1.497453,1.641514,0.440,0.374,0.100000,15,214
59,1.503707,1.623031,0.436,0.376,0.100000,16,217
60,1.501160,1.700165,0.435,0.360,0.100000,17,221
61,1.498237,1.830677,0.440,0.331,0.100000,18,225
62,1.497518,1.742353,0.439,0.344,0.100000,19,228
63,1.500424,1.632549,0.438,0.371,0.100000,20,232
64,1.500527,1.596118,0.436,0.385,0.100000,21,236
65,1.499398,1.700410,0.440,0.351,0.100000,22,239
66,1.499377,1.601528,0.439,0.388,0.100000,23,243
67,1.495505,1.591990,0.443,0.384,0.100000,24,247
68,1.499719,1.689863,0.437,0.354,0.100000,25,250
69,1.497765,1.586504,0.439,0.387,0.100000,26,254
70,1.494036,1.726938,0.439,0.351,0.100000,27,258
71,1.496600,1.567788,0.440,0.389,0.100000,28,261
72,1.498425,1.651181,0.442,0.366,0.100000,29,265
73,1.494774,1.595052,0.440,0.388,0.100000,30,269
74,1.495932,1.700746,0.437,0.336,0.100000,31,273
75,1.495491,1.670452,0.440,0.359,0.100000,32,276
76,1.495670,1.707341,0.439,0.349,0.100000,33,280
77,1.494454,1.642695,0.444,0.365,0.100000,34,284
78,1.492322,1.633533,0.443,0.371,0.100000,35,287
79,1.490052,1.648134,0.442,0.376,0.100000,36,291
80,1.491180,1.593652,0.440,0.388,0.100000,37,295
81,1.493757,1.588750,0.442,0.398,0.100000,0,298
82,1.492903,1.623575,0.440,0.388,0.100000,1,302
83,1.492339,1.593579,0.442,0.377,0.100000,2,306
84,1.490760,1.681509,0.440,0.353,0.100000,3,309
85,1.485278,1.656632,0.444,0.376,0.100000,4,313
86,1.492186,1.609760,0.444,0.387,0.100000,5,317
87,1.491352,1.642413,0.444,0.368,0.100000,6,320
88,1.490136,1.596371,0.442,0.382,0.100000,7,324
89,1.492642,1.637908,0.442,0.378,0.100000,8,328
90,1.492658,1.638690,0.442,0.361,0.100000,9,331
91,1.492251,1.609785,0.441,0.377,0.100000,10,335
92,1.488681,1.638966,0.445,0.376,0.100000,11,339
93,1.489352,1.606045,0.443,0.378,0.100000,12,343
94,1.490039,1.645464,0.441,0.377,0.100000,13,346
95,1.489702,1.650102,0.445,0.375,0.100000,14,350
96,1.491881,1.679465,0.440,0.364,0.100000,15,354
97,1.492681,1.693659,0.443,0.355,0.100000,16,357
98,1.492024,1.588361,0.441,0.403,0.100000,0,361
99,1.489889,1.599693,0.441,0.385,0.100000,1,365
100,1.488141,1.587781,0.442,0.391,0.100000,2,368
101,1.310628,1.337919,0.505,0.476,0.010000,0,372
102,1.249357,1.308488,0.525,0.486,0.010000,0,376
103,1.219584,1.313331,0.537,0.482,0.010000,1,379
104,1.201339,1.317202,0.543,0.482,0.010000,2,383
105,1.186888,1.306100,0.548,0.483,0.010000,3,387
106,1.172967,1.304373,0.551,0.490,0.010000,0,390
107,1.162149,1.315567,0.555,0.487,0.010000,1,394
108,1.156169,1.309534,0.556,0.488,0.010000,2,398
109,1.147410,1.334127,0.559,0.482,0.010000,3,402
110,1.138165,1.307301,0.562,0.487,0.010000,4,405
111,1.131790,1.319213,0.565,0.491,0.010000,0,409
112,1.125542,1.354013,0.568,0.475,0.010000,1,413
113,1.122268,1.332638,0.568,0.484,0.010000,2,416
114,1.116868,1.321960,0.570,0.482,0.010000,3,420
115,1.112185,1.348274,0.572,0.475,0.010000,4,424
116,1.105210,1.378162,0.575,0.470,0.010000,5,427
117,1.101721,1.366737,0.574,0.475,0.010000,6,431
118,1.097335,1.359346,0.575,0.479,0.010000,7,435
119,1.091133,1.367099,0.577,0.474,0.010000,8,438
120,1.086928,1.369805,0.578,0.473,0.010000,9,442
121,1.082674,1.373244,0.580,0.473,0.010000,10,446
122,1.074590,1.393500,0.582,0.465,0.010000,11,450
123,1.073513,1.395702,0.582,0.467,0.010000,12,453
124,1.068245,1.403717,0.584,0.455,0.010000,13,457
125,1.064878,1.429513,0.583,0.465,0.010000,14,461
126,1.060857,1.360845,0.586,0.484,0.010000,15,464
127,1.055826,1.412840,0.587,0.464,0.010000,16,468
128,1.050388,1.415520,0.590,0.471,0.010000,17,472
129,1.049446,1.408193,0.591,0.466,0.010000,18,475
130,1.049981,1.380014,0.590,0.475,0.010000,19,479
131,1.035340,1.401049,0.595,0.472,0.010000,20,483
132,1.030356,1.420821,0.597,0.461,0.010000,21,486
133,1.027025,1.423312,0.598,0.465,0.010000,22,490
134,1.021000,1.432983,0.598,0.467,0.010000,23,494
135,1.019496,1.407671,0.599,0.474,0.010000,24,497
136,1.016015,1.421317,0.597,0.471,0.010000,25,501
137,1.015679,1.430915,0.603,0.465,0.010000,26,505
138,1.006001,1.439935,0.603,0.467,0.010000,27,508
139,0.999846,1.447712,0.607,0.462,0.010000,28,512
140,0.997751,1.444967,0.608,0.459,0.010000,29,516
141,1.001161,1.507313,0.606,0.458,0.010000,30,520
142,0.993803,1.466117,0.607,0.468,0.010000,31,523
143,0.990666,1.461392,0.607,0.467,0.010000,32,527
144,0.985514,1.466321,0.608,0.473,0.010000,33,531
145,0.979017,1.487069,0.610,0.458,0.010000,34,534
146,0.975163,1.482826,0.613,0.466,0.010000,35,538
147,0.975785,1.426307,0.611,0.474,0.010000,36,542
148,0.969904,1.469384,0.615,0.458,0.010000,37,545
149,0.966912,1.545118,0.615,0.441,0.010000,38,549
150,0.966620,1.490170,0.618,0.455,0.010000,39,553
