_epoch,train_loss,valid_loss,acc,val_acc,lr,early_stopping,elapsed_time
1,2.281161,2.129401,0.190,0.208,0.100000,0,2
2,2.037968,2.047526,0.243,0.233,0.100000,0,4
3,1.964649,1.952267,0.266,0.268,0.100000,0,7
4,1.901219,1.966151,0.288,0.242,0.100000,1,10
5,1.839930,2.021768,0.309,0.254,0.100000,2,12
6,1.790090,1.923985,0.327,0.298,0.100000,0,14
7,1.749688,1.781298,0.344,0.311,0.100000,0,17
8,1.718585,1.825837,0.353,0.309,0.100000,1,20
9,1.693480,1.868468,0.362,0.309,0.100000,2,23
10,1.670352,1.905270,0.373,0.296,0.100000,3,26
11,1.656308,1.728707,0.380,0.349,0.100000,0,29
12,1.638747,1.724268,0.386,0.340,0.100000,1,32
13,1.627213,1.766177,0.388,0.334,0.100000,2,35
14,1.618733,1.731171,0.393,0.339,0.100000,3,37
15,1.604918,1.723368,0.398,0.331,0.100000,4,40
16,1.596796,1.738826,0.402,0.348,0.100000,5,43
17,1.594423,1.729159,0.403,0.336,0.100000,6,46
18,1.584233,1.691998,0.408,0.344,0.100000,7,50
19,1.580902,1.647192,0.410,0.360,0.100000,0,52
20,1.572792,1.748784,0.410,0.345,0.100000,1,55
21,1.569014,1.696984,0.414,0.364,0.100000,0,59
22,1.562982,1.688981,0.412,0.368,0.100000,0,62
23,1.560903,1.882903,0.417,0.311,0.100000,1,65
24,1.556648,1.681062,0.419,0.353,0.100000,2,68
25,1.554097,1.881867,0.419,0.314,0.100000,3,71
26,1.550488,1.641469,0.418,0.369,0.100000,0,74
27,1.546004,1.733768,0.423,0.351,0.100000,1,77
28,1.546178,1.733160,0.420,0.338,0.100000,2,81
29,1.543380,1.641128,0.422,0.372,0.100000,0,83
30,1.540945,1.675112,0.422,0.369,0.100000,1,86
31,1.540848,1.646263,0.422,0.365,0.100000,2,90
32,1.535754,1.714667,0.425,0.341,0.100000,3,93
33,1.534950,1.854498,0.427,0.327,0.100000,4,96
34,1.529978,1.950334,0.428,0.294,0.100000,5,99
35,1.541272,1.654501,0.424,0.392,0.100000,0,102
36,1.528121,1.662939,0.429,0.371,0.100000,1,105
37,1.530366,1.788606,0.425,0.349,0.100000,2,107
38,1.526849,1.673717,0.431,0.373,0.100000,3,111
39,1.525657,1.651758,0.429,0.375,0.100000,4,114
40,1.526534,1.790106,0.428,0.343,0.100000,5,117
41,1.528861,1.625203,0.426,0.385,0.100000,6,121
42,1.524758,1.660957,0.429,0.375,0.100000,7,124
43,1.528062,1.620613,0.431,0.374,0.100000,8,126
44,1.521697,1.631183,0.429,0.373,0.100000,9,130
45,1.519312,1.796033,0.431,0.339,0.100000,10,133
46,1.518717,1.624391,0.431,0.383,0.100000,11,136
47,1.520477,1.731227,0.429,0.347,0.100000,12,139
48,1.518818,1.658451,0.431,0.353,0.100000,13,142
49,1.521323,1.646436,0.431,0.376,0.100000,14,145
50,1.514960,1.657943,0.433,0.367,0.100000,15,148
51,1.515259,1.681172,0.433,0.350,0.100000,16,152
52,1.513543,1.624414,0.436,0.386,0.100000,17,155
53,1.513372,1.640510,0.434,0.371,0.100000,18,157
54,1.516163,2.022022,0.433,0.286,0.100000,19,161
55,1.516252,1.637688,0.431,0.385,0.100000,20,163
56,1.513872,1.700410,0.433,0.359,0.100000,21,166
57,1.513283,1.657410,0.435,0.369,0.100000,22,169
58,1.511094,1.769935,0.435,0.343,0.100000,23,173
59,1.513944,1.630531,0.434,0.384,0.100000,24,175
60,1.509171,1.747216,0.436,0.354,0.100000,25,178
61,1.513108,1.618603,0.435,0.384,0.100000,26,182
62,1.508428,1.655318,0.438,0.374,0.100000,27,184
63,1.510988,1.680115,0.436,0.351,0.100000,28,187
64,1.508883,1.600676,0.438,0.384,0.100000,29,191
65,1.508482,1.676054,0.435,0.361,0.100000,30,194
66,1.508224,1.676477,0.434,0.368,0.100000,31,197
67,1.503884,1.796919,0.437,0.350,0.100000,32,200
68,1.505784,1.729541,0.436,0.357,0.100000,33,204
69,1.503098,1.596016,0.435,0.392,0.100000,0,206
70,1.500469,1.714264,0.442,0.349,0.100000,1,209
71,1.498564,1.755164,0.441,0.343,0.100000,2,212
72,1.501963,1.633240,0.438,0.389,0.100000,3,214
73,1.496936,1.705218,0.439,0.360,0.100000,4,217
74,1.501262,1.598510,0.439,0.386,0.100000,5,220
75,1.505622,1.610757,0.438,0.387,0.100000,6,223
76,1.503872,1.651827,0.439,0.383,0.100000,7,226
77,1.504229,1.653774,0.438,0.366,0.100000,8,229
78,1.501779,1.613380,0.436,0.394,0.100000,0,232
79,1.501460,1.579618,0.438,0.382,0.100000,1,235
80,1.504493,1.590693,0.439,0.399,0.100000,0,238
81,1.498764,1.641171,0.438,0.370,0.100000,1,240
82,1.504312,1.695234,0.437,0.366,0.100000,2,243
83,1.501654,1.586158,0.436,0.390,0.100000,3,246
84,1.500819,1.775805,0.439,0.328,0.100000,4,249
85,1.503068,1.633181,0.437,0.375,0.100000,5,252
86,1.503184,1.586329,0.437,0.403,0.100000,0,255
87,1.501006,1.665633,0.437,0.375,0.100000,1,258
88,1.499632,1.606426,0.438,0.365,0.100000,2,262
89,1.500633,1.630206,0.437,0.383,0.100000,3,264
90,1.499825,1.573951,0.438,0.397,0.100000,4,268
91,1.497802,1.627562,0.440,0.383,0.100000,5,271
92,1.499640,1.595595,0.438,0.393,0.100000,6,274
93,1.497700,1.779662,0.437,0.336,0.100000,7,277
94,1.502731,1.690430,0.442,0.362,0.100000,8,280
95,1.499066,1.615378,0.438,0.381,0.100000,9,283
96,1.496255,1.657201,0.440,0.371,0.100000,10,286
97,1.495657,1.737959,0.441,0.352,0.100000,11,289
98,1.495708,1.721269,0.440,0.351,0.100000,12,292
99,1.502927,1.729543,0.438,0.354,0.100000,13,295
