_epoch,train_loss,valid_loss,acc,val_acc,lr,early_stopping,elapsed_time
96,1.496676,1.645918,0.440,0.374,0.100000,22,243
97,1.495185,1.697702,0.439,0.360,0.100000,23,246
98,1.499385,1.754285,0.439,0.357,0.100000,24,248
99,1.499171,1.631494,0.439,0.370,0.100000,25,251
100,1.494915,1.565319,0.442,0.410,0.100000,0,253
101,1.317290,1.322819,0.504,0.486,0.010000,0,256
102,1.254358,1.316095,0.525,0.489,0.010000,0,258
103,1.228840,1.296814,0.532,0.499,0.010000,0,261
104,1.208819,1.285707,0.540,0.504,0.010000,0,263
105,1.194263,1.291466,0.544,0.498,0.010000,1,265
106,1.184121,1.296008,0.549,0.507,0.010000,0,268
107,1.167169,1.298779,0.552,0.500,0.010000,1,271
108,1.157552,1.323358,0.556,0.489,0.010000,2,274
109,1.151940,1.297055,0.558,0.497,0.010000,3,276
110,1.144244,1.299719,0.560,0.496,0.010000,4,279
111,1.137438,1.330702,0.563,0.490,0.010000,5,281
112,1.133477,1.331166,0.564,0.495,0.010000,6,284
113,1.127993,1.337422,0.567,0.492,0.010000,7,286
114,1.120673,1.350922,0.568,0.495,0.010000,8,288
115,1.112063,1.328101,0.571,0.491,0.010000,9,291
116,1.111276,1.367997,0.570,0.486,0.010000,10,294
117,1.105554,1.352736,0.571,0.480,0.010000,11,296
118,1.099574,1.355630,0.572,0.484,0.010000,12,298
119,1.095371,1.338071,0.577,0.487,0.010000,13,301
120,1.090553,1.359204,0.578,0.481,0.010000,14,303
121,1.083442,1.355912,0.579,0.490,0.010000,15,305
122,1.075375,1.372906,0.581,0.486,0.010000,16,308
123,1.071175,1.344414,0.583,0.490,0.010000,17,310
124,1.065946,1.390263,0.584,0.486,0.010000,18,313
125,1.066741,1.383978,0.585,0.481,0.010000,19,315
126,1.055552,1.404254,0.587,0.481,0.010000,20,317
127,1.057913,1.382744,0.587,0.491,0.010000,21,320
128,1.049128,1.371964,0.589,0.491,0.010000,22,322
129,1.044580,1.471629,0.592,0.478,0.010000,23,324
130,1.036317,1.364581,0.593,0.495,0.010000,24,327
131,1.032242,1.445817,0.593,0.474,0.010000,25,330
132,1.030391,1.389688,0.594,0.490,0.010000,26,332
133,1.027426,1.430225,0.595,0.478,0.010000,27,335
134,1.016997,1.388137,0.600,0.490,0.010000,28,338
135,1.014246,1.414953,0.600,0.487,0.010000,29,340
136,1.014120,1.467713,0.600,0.473,0.010000,30,342
137,0.999726,1.430568,0.606,0.482,0.010000,31,345
138,1.003168,1.428927,0.604,0.484,0.010000,32,347
139,0.986655,1.425485,0.611,0.488,0.010000,33,350
140,0.987945,1.410335,0.607,0.492,0.010000,34,352
141,0.989841,1.432364,0.608,0.489,0.010000,35,354
142,0.978444,1.401700,0.611,0.488,0.010000,36,357
143,0.974264,1.450795,0.615,0.474,0.010000,37,360
144,0.978441,1.569552,0.611,0.456,0.010000,38,362
145,0.965899,1.454751,0.615,0.485,0.010000,39,365
146,0.968652,1.504835,0.617,0.458,0.010000,40,367
147,0.958471,1.449175,0.618,0.480,0.010000,41,370
148,0.959504,1.484389,0.618,0.470,0.010000,42,373
149,0.956324,1.519901,0.618,0.475,0.010000,43,375
150,0.946104,1.461470,0.622,0.479,0.010000,44,378
151,0.799237,1.435585,0.681,0.505,0.001000,45,380
152,0.738662,1.465231,0.698,0.504,0.001000,46,383
153,0.709957,1.466769,0.709,0.505,0.001000,47,386
154,0.691400,1.535251,0.717,0.497,0.001000,48,388
155,0.675470,1.554965,0.722,0.502,0.001000,49,391
156,0.658723,1.576738,0.727,0.499,0.001000,50,393
157,0.644129,1.586662,0.732,0.504,0.001000,51,396
158,0.634607,1.629959,0.737,0.498,0.001000,52,399
159,0.623783,1.650540,0.741,0.495,0.001000,53,402
160,0.615728,1.740348,0.745,0.491,0.001000,54,404
161,0.604230,1.665638,0.749,0.493,0.001000,55,407
162,0.595427,1.770686,0.750,0.483,0.001000,56,409
163,0.585792,1.766472,0.754,0.497,0.001000,57,412
164,0.577103,1.813341,0.758,0.490,0.001000,58,414
165,0.571338,1.802727,0.759,0.485,0.001000,59,417
166,0.561696,1.879598,0.765,0.489,0.001000,60,419
167,0.555886,1.898548,0.767,0.480,0.001000,61,422
168,0.547193,1.885837,0.772,0.479,0.001000,62,424
169,0.537452,1.889597,0.773,0.482,0.001000,63,426
170,0.529577,1.912123,0.778,0.483,0.001000,64,429
171,0.525321,1.963375,0.778,0.483,0.001000,65,432
172,0.517915,1.937521,0.783,0.479,0.001000,66,434
173,0.510404,1.978984,0.785,0.471,0.001000,67,437
174,0.508644,2.006933,0.785,0.481,0.001000,68,440
175,0.505473,1.983199,0.786,0.480,0.001000,69,442
176,0.492291,2.076078,0.792,0.474,0.001000,70,444
177,0.490598,2.023337,0.793,0.479,0.001000,71,447
178,0.482447,2.161805,0.797,0.469,0.001000,72,450
179,0.482691,2.097384,0.796,0.471,0.001000,73,452
180,0.475951,2.073592,0.799,0.465,0.001000,74,455
181,0.469831,2.142786,0.802,0.470,0.001000,75,458
182,0.464188,2.148373,0.804,0.477,0.001000,76,461
183,0.455904,2.254125,0.808,0.464,0.001000,77,463
184,0.455701,2.149878,0.808,0.474,0.001000,78,466
185,0.445948,2.253776,0.810,0.465,0.001000,79,468
186,0.450033,2.297200,0.810,0.463,0.001000,80,471
187,0.442979,2.323621,0.813,0.460,0.001000,81,473
188,0.436633,2.250179,0.815,0.469,0.001000,82,476
189,0.431001,2.298055,0.817,0.461,0.001000,83,478
190,0.430654,2.366401,0.816,0.463,0.001000,84,481
191,0.422343,2.364770,0.820,0.464,0.001000,85,484
192,0.423859,2.339070,0.821,0.465,0.001000,86,486
193,0.414960,2.424588,0.824,0.454,0.001000,87,489
194,0.411506,2.406492,0.824,0.463,0.001000,88,491
195,0.403749,2.360146,0.828,0.462,0.001000,89,494
196,0.404142,2.409989,0.829,0.452,0.001000,90,496
197,0.403322,2.490231,0.828,0.453,0.001000,91,499
198,0.399875,2.448874,0.831,0.459,0.001000,92,502
199,0.393242,2.549071,0.833,0.452,0.001000,93,504
200,0.393310,2.464189,0.831,0.458,0.001000,94,507
