_epoch,train_loss,valid_loss,acc,val_acc,lr,early_stopping,elapsed_time
1,9.413428,2.553092,0.180,0.178,0.100000,0,3
2,8.708859,2.201119,0.238,0.228,0.100000,0,6
3,8.459976,2.570638,0.258,0.221,0.100000,1,10
4,8.199865,2.178411,0.281,0.258,0.100000,0,13
5,7.939434,2.140067,0.299,0.247,0.100000,1,17
6,7.729380,2.079944,0.317,0.294,0.100000,0,20
7,7.575410,2.171270,0.329,0.287,0.100000,1,24
8,7.415787,1.998411,0.343,0.313,0.100000,0,27
9,7.308289,2.159289,0.353,0.308,0.100000,1,31
10,7.218156,2.123559,0.360,0.322,0.100000,0,34
11,7.164643,2.328181,0.365,0.313,0.100000,1,38
12,7.097025,2.145506,0.373,0.321,0.100000,2,41
13,7.027704,2.146006,0.378,0.309,0.100000,3,44
14,6.991284,2.366212,0.379,0.324,0.100000,0,48
15,6.938923,2.256507,0.382,0.329,0.100000,0,51
16,6.891464,2.187117,0.389,0.340,0.100000,0,55
17,6.863907,2.066073,0.390,0.346,0.100000,0,58
18,6.819515,2.062266,0.394,0.350,0.100000,0,62
19,6.813779,2.049314,0.396,0.345,0.100000,1,65
20,6.795969,2.025046,0.396,0.357,0.100000,0,69
21,6.753230,2.179271,0.399,0.351,0.100000,1,72
22,6.747121,2.390397,0.401,0.321,0.100000,2,76
23,6.709424,2.028353,0.402,0.349,0.100000,3,79
24,6.710853,2.290890,0.405,0.356,0.100000,4,82
25,6.678148,2.227467,0.408,0.360,0.100000,0,86
26,6.696890,2.020225,0.407,0.355,0.100000,1,89
27,6.655691,2.358239,0.408,0.320,0.100000,2,93
28,6.636349,2.190585,0.412,0.335,0.100000,3,96
29,6.638565,2.243626,0.413,0.331,0.100000,4,100
30,6.625257,2.109472,0.412,0.364,0.100000,0,103
31,6.620038,2.227517,0.413,0.341,0.100000,1,107
32,6.587570,2.013927,0.417,0.340,0.100000,2,110
33,6.598012,2.052165,0.417,0.375,0.100000,0,114
34,6.601016,2.306491,0.415,0.338,0.100000,1,117
35,6.577763,2.204709,0.419,0.346,0.100000,2,120
36,6.572497,2.146805,0.417,0.355,0.100000,3,124
37,6.569552,2.195747,0.414,0.344,0.100000,4,127
38,6.564160,2.012832,0.418,0.356,0.100000,5,131
39,6.555426,2.159472,0.419,0.353,0.100000,6,134
40,6.542524,2.331837,0.421,0.333,0.100000,7,138
41,6.552308,2.328453,0.417,0.354,0.100000,8,141
42,6.560197,1.977505,0.418,0.347,0.100000,9,145
43,6.530939,1.996974,0.421,0.369,0.100000,10,148
44,6.519753,2.146311,0.422,0.333,0.100000,11,152
45,6.523965,2.196280,0.422,0.347,0.100000,12,155
46,6.514198,2.193413,0.422,0.346,0.100000,13,158
47,6.500207,2.011031,0.423,0.363,0.100000,14,162
48,6.509875,2.193218,0.424,0.332,0.100000,15,165
49,6.493865,2.143634,0.426,0.366,0.100000,16,169
50,6.514044,2.363628,0.423,0.341,0.100000,17,172
51,6.487251,2.116200,0.428,0.342,0.100000,18,176
52,6.512819,2.356369,0.423,0.322,0.100000,19,179
53,6.501573,2.267693,0.424,0.332,0.100000,20,183
54,6.493529,2.469020,0.423,0.341,0.100000,21,186
55,6.519139,2.078937,0.420,0.359,0.100000,22,190
56,6.481784,2.067578,0.428,0.364,0.100000,23,193
