_epoch,train_loss,valid_loss,acc,val_acc,lr,early_stopping,elapsed_time
1,1.842677,3.037831,0.126,0.100,0.100000,0,2
2,1.401290,4.612023,0.135,0.078,0.100000,1,4
3,1.196631,3.770405,0.119,0.062,0.100000,2,7
4,1.053359,3.842405,0.093,0.058,0.100000,3,10
5,0.958197,3.729132,0.080,0.082,0.100000,4,12
6,0.886972,4.071178,0.079,0.069,0.100000,5,15
7,0.835446,4.292971,0.077,0.065,0.100000,6,17
8,0.803880,4.293639,0.079,0.055,0.100000,7,21
9,0.773201,4.533412,0.082,0.076,0.100000,8,23
10,0.750719,4.097573,0.090,0.081,0.100000,9,26
11,0.736188,4.455347,0.093,0.054,0.100000,10,29
12,0.721242,4.372474,0.100,0.070,0.100000,11,31
13,0.711510,4.258532,0.111,0.087,0.100000,12,34
14,0.695931,4.424735,0.105,0.049,0.100000,13,37
15,0.693864,4.835942,0.114,0.048,0.100000,14,39
16,0.680779,4.581798,0.113,0.065,0.100000,15,42
17,0.677021,4.668936,0.111,0.050,0.100000,16,45
18,0.671991,4.153312,0.112,0.080,0.100000,17,47
19,0.670670,4.671994,0.121,0.070,0.100000,18,50
20,0.667889,4.938767,0.118,0.047,0.100000,19,53
21,0.665696,4.144551,0.121,0.082,0.100000,20,56
22,0.654013,4.112979,0.120,0.093,0.100000,21,58
23,0.657231,4.643342,0.124,0.077,0.100000,22,61
24,0.654429,4.448202,0.122,0.084,0.100000,23,64
25,0.648428,4.348480,0.129,0.074,0.100000,24,67
26,0.646322,4.312634,0.129,0.078,0.100000,25,70
27,0.647462,4.212655,0.125,0.098,0.100000,26,72
28,0.644673,4.509940,0.126,0.055,0.100000,27,75
29,0.637866,4.519955,0.132,0.075,0.100000,28,78
30,0.638360,4.175310,0.129,0.109,0.100000,0,80
31,0.638841,4.299220,0.129,0.077,0.100000,1,83
32,0.637161,4.434288,0.129,0.082,0.100000,2,86
33,0.635765,4.599727,0.129,0.059,0.100000,3,88
34,0.630927,4.375083,0.133,0.077,0.100000,4,91
35,0.638225,4.265442,0.130,0.069,0.100000,5,93
36,0.631089,4.554061,0.130,0.063,0.100000,6,96
37,0.628539,4.154174,0.134,0.076,0.100000,7,99
38,0.628697,4.909486,0.131,0.066,0.100000,8,101
39,0.629611,4.639439,0.132,0.063,0.100000,9,104
40,0.629523,4.232666,0.137,0.091,0.100000,10,107
41,0.626344,4.519808,0.130,0.099,0.100000,11,109
42,0.622538,4.263024,0.139,0.078,0.100000,12,112
43,0.623500,4.058213,0.134,0.088,0.100000,13,114
44,0.625698,4.212639,0.135,0.094,0.100000,14,118
45,0.624252,4.361283,0.129,0.092,0.100000,15,121
46,0.624936,4.015133,0.135,0.105,0.100000,16,125
47,0.622286,4.222148,0.138,0.099,0.100000,17,128
48,0.621354,3.874182,0.136,0.104,0.100000,18,132
49,0.624690,4.635821,0.137,0.060,0.100000,19,135
50,0.617612,4.601501,0.140,0.077,0.100000,20,138
51,0.618310,4.374835,0.141,0.089,0.100000,21,141
52,0.616299,4.204792,0.140,0.092,0.100000,22,144
53,0.622320,4.205086,0.136,0.076,0.100000,23,148
54,0.621766,4.455817,0.137,0.060,0.100000,24,151
55,0.620525,3.941632,0.137,0.106,0.100000,25,155
56,0.619403,4.127894,0.136,0.073,0.100000,26,159
57,0.617232,4.343865,0.139,0.076,0.100000,27,163
58,0.620339,4.451003,0.134,0.079,0.100000,28,167
59,0.614827,4.348432,0.132,0.061,0.100000,29,171
60,0.617979,3.942673,0.135,0.125,0.100000,0,174
61,0.616307,4.086737,0.136,0.086,0.100000,1,176
62,0.614400,3.798190,0.137,0.116,0.100000,2,180
